FID,STATION_NA,DIVISION_H,STN_CODE,ADDRESS,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY
508,PORTLAW,WATERFORD,3404E,"Main Street, Portlaw",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Portlaw.html,246617,115121,646557,615174,-7.317612,52.286264,0,051,387105,Sub-District
509,RATHGORMACK,WATERFORD,3405C,"Knocknacreha, Rathgormack",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Rathgormack.html,233897,117376,633840,617428,-7.50377,52.307456,0,051,646002,Sub-District
510,RING,WATERFORD,3376F,"Mweelnahorna, Ring",WATERFORD,https://www.garda.ie/en/contact-us/station-directory/an-rinn-ring-.html,227969,88510,627914,588568,-7.593043,52.048379,0,058,46111,Sub-District
511,TALLOW,WATERFORD,3372C,"West Street, Tallow",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Tallow.html,199549,93475,599500,593532,-8.007298,52.093703,0,058,56222,Sub-District
512,TRAMORE,WATERFORD,3400B,"Off Market Street, Tramore, Co. Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Tramore.html,257984,101354,657922,601410,-7.153412,52.161475,1,051,391620,District HQ
513,WATERFORD,WATERFORD,3300F,"Ballybricken, Waterford City, Co. Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Waterford.html,260461,112378,660398,612431,-7.115254,52.260269,1,051,305300,Division HQ
514,ATHLONE,MULLINGAR,2370A,"Barrack Street, Athlone, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Athlone.html,203723,241436,603673,741461,-7.944738,53.423248,1,090,6492600,District HQ
515,BALLYMORE,MULLINGAR,2372H,"Ballymore, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballymore.html,221174,249031,621121,749055,-7.681731,53.491082,0,044,9356222,Sub-District
516,BALLYNACARGY,MULLINGAR,2474M,"Ballynacargy, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballynacargy.html,230848,259684,630792,759705,-7.534945,53.586311,0,044,9373122,Sub-District
517,CASTLEPOLLARD,MULLINGAR,2475K,"Collinstown Road, Castlepollard, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Castlepollard.html,246529,270072,646470,770091,-7.296635,53.678482,0,044,9661112,Sub-District
518,DELVIN,MULLINGAR,2305A,"Delvin, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Delvin.html,260269,263101,660207,763121,-7.090084,53.614455,0,044,96664193,Sub-District
519,GLASSAN,MULLINGAR,2373F,"Glasson Village, Athlone, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Glasson.html,209064,246797,609012,746821,-7.864255,53.471354,0,090,6485102,Sub-District
520,KILBEGGAN,MULLINGAR,2374D,"Main St, Kilbeggan, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilbeggan.html,233387,235463,633330,735489,-7.499184,53.368544,0,057,9332102,Sub-District
521,KILLUCAN,MULLINGAR,2301K,"Killucan, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Killucan.html,257122,251959,657060,751982,-7.13967,53.514714,0,044,9374112,Sub-District
522,KINNEGAD,MULLINGAR,2302G,"Kinnegad, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Kinnegad.html,259649,245446,659587,745471,-7.102805,53.455927,0,044,9375112,Sub-District
523,MOATE,MULLINGAR,2375B,"Athlone Rd, Moate, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Moate.html,217710,238405,617657,738431,-7.734526,53.395738,0,090,6481106,Sub-District
524,MULLINGAR,MULLINGAR,2300M,"College Road, Mullingar, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Mullingar.html,243426,253036,643368,753059,-7.345952,53.525701,1,044,9384000,Division HQ
525,MULTYFARNHAM,MULLINGAR,2476G,"Delvin, Co. Westmeath",WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Multyfarnham.html,240257,263975,640199,763996,-7.392333,53.624231,0,044,9371112,Sub-District
526,ROCHFORTBRIDGE,MULLINGAR,2303E,Rochfordsbridge,WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Rochfortbridge.html,246475,240552,646416,740578,-7.301832,53.413283,0,044,9222102,Sub-District
